Device Name,Device ID,Sensor Name,Sensor ID,Date,Message,Traffic Total
Cisco 31108 @NSE-PHASE-4 (172.16.4.1),2675,Eth1/42 Traffic NSE-Phase_4_4.1_Eth1/42_LIU-A48_TO_BSE-DC-6_18.5.1_Eth1/48_LIU-8,7477,NA,Upper Warning Limit Not Set,N/A
Cisco Nexus C9396PX @ PHASE-4 172.16.4.5 (4.4.4.5),5490,Eth1/25 Traffic  NSE(P4)_TO_BSE_LIU-B27(BSE_5.1_ETH1/22-NSE_4.5-ETH1/22) Traffic,7485,NA,Upper Warning Limit Not Set,N/A
Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),2148,Eth-1/41 Traffic CDC to MAHALAXMI (OFC-PNS-Primary) to (LIU-11-12) 172.16.12.1 Eth-1/41,7173,03-07-2024 17:31:48,Not breach,8.22
Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),2148,Eth-1/45 Traffic CDC to BHANDUP (OFC-PNS-Primary) to 172.16.9.1 Eth-1/46,6966,03-07-2024 06:01:35,Not breach,482.0
Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),2148,Eth-1/52 Traffic CDC to BKC (OFC-PNS-Primary) to  172.16.3.1 Eth-1/52,6207,03-07-2024 16:20:42,Not breach,759.0
Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),2148,Eth-1/54 Traffic CDC to NSE (Duplex-OFC-PNS-Primary) to 172.16.4.1 Eth-1/54,5908,03-07-2024 09:22:44,Not breach,9177.0
Cisco 31108 @CDC-JP-101 (172.17.1.1) (1.1.1.129),2152,Eth1/53 Traffic CDC_1.129_Eth1/53_(OFC-PNS-Primary) TO_CLS_1.71_Eth1/51_PRI,7257,03-07-2024 14:35:51,Not breach,2862.0
Cisco 31108 @CDC-JP-101 (172.17.1.1) (1.1.1.129),2152,Eth1/44 Traffic CDC to LVSB (OFC-PNS-Primary) to 172.16.2.1 Eth1/44,2257,03-07-2024 09:16:34,Not breach,1509.0
Cisco 3064 @CDC-JP-101 (172.16.1.21),2436,Eth1/51 Traffic CDC to FT LIU-1 (OFC-PNS-Primary) to 172.16.1.81 Eth1/51 LIU-1,6177,03-07-2024 03:21:46,Not breach,825.0
Cisco 3064 @CDC-JP-101 (172.16.1.21),2436,Eth1/52 Traffic CDC to FT LIU-4 (OFC-PNS-Secondary) to 172.16.1.81 Eth1/52 LIU-4,6178,N/A,Not breach,
Cisco 9372PX @ STT-COMTEL MMR Rack-B4 (11.11.11.129)(172.17.11.1),6456,Eth1/32 Traffic 3RD_UPLINK_PNS_TECHNO_11.129_ETH1/32_LIU_26_TO_CDC_1.129_ETH1/32,7450,03-07-2024 03:26:40,Not breach,0.0
Cisco 9372PX @ STT-COMTEL MMR Rack-B4 (11.11.11.129)(172.17.11.1),6456,Eth-1/48_STT_ANDEHRI_TO_NSE_4.1_Eth1/45 Traffic,6636,03-07-2024 17:27:37,Not breach,1269.0
CDC-MCX-172.16.1.93,7040,"Eth1/35 Traffic CDC_TO_MCX_FOR_JUMP_172.16.1.91_Eth1/36_LIU-3,4",7174,03-07-2024 11:00:33,Not breach,29.0
CDC-MCX-172.16.1.93,7040,"Eth1/46 Traffic CDC_TO_MCX_PRI-2_172.16.1.91_Eth1/35_LIU-5,6",7175,03-07-2024 13:28:46,Not breach,90.0
CDC-MCX-172.16.1.93,7040,"Eth1/47 Traffic CDC_TO_MCX_PRI-3_172.16.1.91_Eth1/47_LIU-9,10",7176,N/A,Not breach,
CDC-MCX-172.16.1.93,7040,"Eth1/48 Traffic CDC_TO_MCX_PRI-1_172.16.1.91_Eth1/48_LIU-1,2",7177,03-07-2024 11:00:24,Not breach,274.0
CDC-MCX-172.16.1.93,7040,Eth-1/35 Traffic CDC to MCX LIU-3-4 (OFC-PNS-Secondary) to 172.16.1.92 Eth-1/36,7111,03-07-2024 11:00:39,Not breach,22.0
CDC-MCX-172.16.1.94,7041,"Eth1/35 Traffic CDC_TO_MCX-SEC-2_172.16.1.92_Eth1/35_LIU-3,4",7178,N/A,Not breach,
CDC-MCX-172.16.1.94,7041,"Eth1/46 Traffic CDC_TO_MCX-SEC-3_172.16.1.92_Eth1/37_LIU-5,6",7179,03-07-2024 00:00:38,Not breach,0.02
