"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Unicast In (Volume)","Unicast In (Volume)(RAW)","Unicast In (Speed)","Unicast In (Speed)(RAW)","Unicast Out (Volume)","Unicast Out (Volume)(RAW)","Unicast Out (Speed)","Unicast Out (Speed)(RAW)","Multicast In (Volume)","Multicast In (Volume)(RAW)","Multicast In (Speed)","Multicast In (Speed)(RAW)","Multicast Out (Volume)","Multicast Out (Volume)(RAW)","Multicast Out (Speed)","Multicast Out (Speed)(RAW)","Broadcast In (Volume)","Broadcast In (Volume)(RAW)","Broadcast In (Speed)","Broadcast In (Speed)(RAW)","Broadcast Out (Volume)","Broadcast Out (Volume)(RAW)","Broadcast Out (Speed)","Broadcast Out (Speed)(RAW)","Errors In (Volume)","Errors In (Volume)(RAW)","Errors In (Speed)","Errors In (Speed)(RAW)","Errors Out (Volume)","Errors Out (Volume)(RAW)","Errors Out (Speed)","Errors Out (Speed)(RAW)","Discards In (Volume)","Discards In (Volume)(RAW)","Discards In (Speed)","Discards In (Speed)(RAW)","Discards Out (Volume)","Discards Out (Volume)(RAW)","Discards Out (Speed)","Discards Out (Speed)(RAW)","Unknown Protocols In (Volume)","Unknown Protocols In (Volume)(RAW)","Unknown Protocols In (Speed)","Unknown Protocols In (Speed)(RAW)","Coverage","Coverage(RAW)"
"29-06-2024 00:00:27","45471.7711460185","0.07 MB","76020.0000","0.02 Mbit/s","2534.0000","0.03 MB","35631.0000","","1187.7000","0.04 MB","40389.0000","0.01 Mbit/s","1346.3000","265 #","265.0000","8.83 #/s","8.8333","302 #","302.0000","10 #/s","10.0667","19 #","19.0000","0.63 #/s","0.6333","6 #","6.0000","0.20 #/s","0.2000","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:00:57","45471.7714932407","0.07 MB","72106.0000","0.02 Mbit/s","2403.5333","0.03 MB","33978.0000","","1132.6000","0.04 MB","38128.0000","0.01 Mbit/s","1270.9333","261 #","261.0000","8.70 #/s","8.7000","293 #","293.0000","9.77 #/s","9.7667","20 #","20.0000","0.67 #/s","0.6667","5 #","5.0000","0.17 #/s","0.1667","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:01:27","45471.7718404745","0.10 MB","106324.0000","0.03 Mbit/s","3544.1333","0.06 MB","64907.0000","0.02 Mbit/s","2163.5667","0.04 MB","41417.0000","0.01 Mbit/s","1380.5667","519 #","519.0000","17 #/s","17.3000","309 #","309.0000","10 #/s","10.3000","19 #","19.0000","0.63 #/s","0.6333","7 #","7.0000","0.23 #/s","0.2333","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:01:57","45471.7721877199","0.09 MB","96061.0000","0.03 Mbit/s","3202.0333","0.05 MB","57163.0000","0.02 Mbit/s","1905.4333","0.04 MB","38898.0000","0.01 Mbit/s","1296.6000","458 #","458.0000","15 #/s","15.2667","293 #","293.0000","9.77 #/s","9.7667","18 #","18.0000","0.60 #/s","0.6000","5 #","5.0000","0.17 #/s","0.1667","5 #","5.0000","0.17 #/s","0.1667","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:02:27","45471.7725349306","0.10 MB","106371.0000","0.03 Mbit/s","3546.8823","0.05 MB","49174.0000","0.01 Mbit/s","1639.6799","0.05 MB","57197.0000","0.02 Mbit/s","1907.2024","376 #","376.0000","13 #/s","12.5375","438 #","438.0000","15 #/s","14.6049","27 #","27.0000","0.90 #/s","0.9003","7 #","7.0000","0.23 #/s","0.2334","8 #","8.0000","0.27 #/s","0.2668","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:02:57","45471.7728821528","0.07 MB","74606.0000","0.02 Mbit/s","2486.8667","0.03 MB","36621.0000","","1220.7000","0.04 MB","37985.0000","0.01 Mbit/s","1266.1667","284 #","284.0000","9.47 #/s","9.4667","291 #","291.0000","9.70 #/s","9.7000","19 #","19.0000","0.63 #/s","0.6333","6 #","6.0000","0.20 #/s","0.2000","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:03:27","45471.7732293866","0.10 MB","100119.0000","0.03 Mbit/s","3337.3000","0.06 MB","59799.0000","0.02 Mbit/s","1993.3000","0.04 MB","40320.0000","0.01 Mbit/s","1344.0000","477 #","477.0000","16 #/s","15.9000","301 #","301.0000","10 #/s","10.0333","19 #","19.0000","0.63 #/s","0.6333","6 #","6.0000","0.20 #/s","0.2000","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:03:57","45471.7735765972","0.10 MB","103988.0000","0.03 Mbit/s","3467.4225","0.06 MB","62411.0000","0.02 Mbit/s","2081.0604","0.04 MB","41577.0000","0.01 Mbit/s","1386.3621","509 #","509.0000","17 #/s","16.9723","320 #","320.0000","11 #/s","10.6702","19 #","19.0000","0.63 #/s","0.6335","5 #","5.0000","0.17 #/s","0.1667","6 #","6.0000","0.20 #/s","0.2001","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:04:27","45471.7739238310","0.07 MB","74249.0000","0.02 Mbit/s","2474.9667","0.03 MB","33658.0000","","1121.9333","0.04 MB","40591.0000","0.01 Mbit/s","1353.0333","249 #","249.0000","8.30 #/s","8.3000","303 #","303.0000","10 #/s","10.1000","19 #","19.0000","0.63 #/s","0.6333","7 #","7.0000","0.23 #/s","0.2333","5 #","5.0000","0.17 #/s","0.1667","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:04:57","45471.7742710417","0.07 MB","74218.0000","0.02 Mbit/s","2474.7583","0.03 MB","34938.0000","","1164.9883","0.04 MB","39280.0000","0.01 Mbit/s","1309.7699","269 #","269.0000","8.97 #/s","8.9697","302 #","302.0000","10 #/s","10.0700","20 #","20.0000","0.67 #/s","0.6669","5 #","5.0000","0.17 #/s","0.1667","6 #","6.0000","0.20 #/s","0.2001","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
